142.17 39.38 48 0.76 -0.03 -0.73 0.33 0.57 -0.16 25 X Y 201104011157A
143.54 40.27 22 1.95 -0.10 -1.85 0.88 2.09 -0.41 24 X Y 201104011703A
141.85 38.32 53 5.99 -1.43 -4.55 -1.11 -1.25 -1.65 26 X Y 201104071432A
131.84 30.04 12 -1.04 -0.05 1.09 0.25 0.35 0.18 25 X Y 201104091257A
140.54 37.00 12 -1.27 0.76 0.51 -0.01 0.44 -0.33 26 X Y 201104110816A
140.53 37.01 12 -1.86 1.95 -0.09 0.45 0.96 0.01 24 X Y 201104111142A
144.50 37.70 15 -2.03 1.37 0.66 0.11 0.47 0.81 24 X Y 201104111753A
140.85 35.42 16 -0.27 -1.88 2.15 -1.71 0.16 -0.48 25 X Y 201104112308A
140.63 37.08 18 0.24 0.22 -0.46 0.55 0.11 -0.73 25 X Y 201104120507A
142.13 39.39 52 2.45 -0.18 -2.26 1.04 1.88 -0.64 24 X Y 201104121937A
143.59 39.63 15 0.81 0.04 -0.85 0.42 1.12 -0.18 25 X Y 201104131957A
143.48 39.64 24 1.40 -0.17 -1.23 0.72 1.45 -0.31 24 X Y 201104132032A
142.25 35.50 12 2.36 -0.34 -2.02 0.91 2.38 -0.79 24 X Y 201104140608A
140.00 36.40 81 3.34 0.44 -3.77 3.17 2.95 -1.13 24 X Y 201104160219A
143.92 36.95 12 -1.75 1.41 0.34 0.42 0.91 0.81 24 X Y 201104162036A
143.85 40.30 15 1.60 -0.09 -1.51 1.24 3.23 -0.53 24 X Y 201104210039A
143.87 40.33 15 1.47 0.17 -1.65 1.90 6.47 -0.08 24 X Y 201104210154A
140.78 35.56 42 1.81 0.09 -1.90 -0.17 1.42 -0.28 25 X Y 201104211337A
141.49 37.55 53 2.74 -0.30 -2.43 0.78 1.88 -0.85 24 X Y 201104211611A
142.91 39.21 30 1.05 -1.00 -0.05 -0.30 0.21 0.19 25 X Y 201104231012A
141.85 37.50 43 2.98 -0.38 -2.60 -0.05 -0.38 -0.73 24 X Y 201104280927A
144.17 38.24 14 -1.12 -0.39 1.51 0.11 0.37 0.84 25 X Y 201105051458A
142.53 40.29 42 3.85 0.09 -3.94 1.32 3.16 -0.84 24 X Y 201105072052A
143.67 37.85 13 -3.13 1.17 1.96 0.30 0.61 1.84 24 X Y 201105092015A
130.98 43.61 564 0.74 2.16 -2.91 1.53 -3.24 2.33 24 X Y 201105101526A
141.67 37.31 41 1.23 -0.14 -1.09 0.40 1.06 -0.40 25 X Y 201105132335A
141.22 35.74 37 4.38 -0.50 -3.88 1.02 3.63 -1.34 24 X Y 201105200046A
140.79 35.64 49 2.10 -0.06 -2.04 -0.15 1.32 -0.39 24 X Y 201105212206A
143.59 37.59 17 -0.86 -2.17 3.02 0.05 1.05 1.36 24 X Y 201105221446A
143.42 39.75 25 3.45 -0.04 -3.41 3.08 6.37 -0.90 24 X Y 201105240340A
143.96 37.35 21 -1.41 0.85 0.56 -0.37 0.41 0.99 25 X Y 201106030005A
143.58 37.73 20 -1.51 -4.76 6.27 2.16 2.81 1.33 24 X Y 201106141306A
141.76 37.68 16 -1.89 3.02 -1.13 -1.90 5.86 -1.17 24 X Y 201106181131A
142.89 40.13 32 2.28 -0.12 -2.16 1.35 2.75 -0.52 24 X Y 201106221429A
142.51 39.99 41 1.05 0.05 -1.09 0.12 1.12 -0.03 26 X Y 201106222150A
141.91 36.33 23 3.51 -0.49 -3.02 1.21 3.07 -1.12 24 X Y 201107061515A
141.11 37.18 55 2.31 -0.59 -1.72 -0.04 0.05 -0.68 24 X Y 201107071835A
143.33 37.98 22 0.49 -3.25 2.76 0.41 1.36 2.12 26 X Y 201107100057A
140.16 36.13 67 2.07 0.27 -2.33 -0.12 1.29 -0.29 24 X Y 201107151201A
